pm25,DEWP,HUMI,PRES,TEMP,Iws,wd_NE,wd_NW,wd_SE,wd_cv,hour_sin,hour_cos,month_sin,month_cos,is_weekend,season_sin,season_cos,precipitation,Iprec,datetime,year,month,day,hour
159.0,-9.0,73.0,1025.0,-5.0,35.75,0,0,1,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 15:00:00,2010,1,2,15
164.0,-9.0,73.0,1026.0,-5.0,37.54,0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 16:00:00,2010,1,2,16
170.0,-8.0,79.0,1027.0,-5.0,39.33,0,0,1,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 17:00:00,2010,1,2,17
149.0,-8.0,79.0,1027.0,-5.0,42.46,0,0,1,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 18:00:00,2010,1,2,18
154.0,-8.0,79.0,1028.0,-5.0,44.25,0,0,1,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 19:00:00,2010,1,2,19
164.0,-7.0,85.0,1028.0,-5.0,46.04,0,0,1,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 20:00:00,2010,1,2,20
156.0,-7.0,85.0,1027.0,-5.0,49.17,0,0,1,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 21:00:00,2010,1,2,21
126.0,-8.0,85.0,1028.0,-6.0,52.3,0,0,1,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 22:00:00,2010,1,2,22
90.0,-8.0,85.0,1027.0,-6.0,55.43,0,0,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-02 23:00:00,2010,1,2,23
63.0,-7.0,92.0,1027.0,-6.0,58.56,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.4,0.4,2010-01-03 00:00:00,2010,1,3,0
65.0,-8.0,85.0,1026.0,-6.0,61.69,0,0,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,0.9,2010-01-03 01:00:00,2010,1,3,1
55.0,-8.0,92.0,1026.0,-7.0,65.71,0,0,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,1.4,2010-01-03 02:00:00,2010,1,3,2
65.0,-8.0,92.0,1025.0,-7.0,68.84,0,0,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.7,2.1,2010-01-03 03:00:00,2010,1,3,3
83.0,-8.0,92.0,1024.0,-7.0,72.86,0,0,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,1.2,3.3,2010-01-03 04:00:00,2010,1,3,4
91.0,-9.0,92.0,1024.0,-8.0,76.88,0,0,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.7,4.0,2010-01-03 05:00:00,2010,1,3,5
86.0,-10.0,85.0,1024.0,-8.0,80.9,0,0,1,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,1.0,5.0,2010-01-03 06:00:00,2010,1,3,6
82.0,-10.0,92.0,1024.0,-9.0,84.92,0,0,1,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.7,5.7,2010-01-03 07:00:00,2010,1,3,7
86.0,-10.0,92.0,1024.0,-9.0,89.84,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,6.2,2010-01-03 08:00:00,2010,1,3,8
78.0,-11.0,85.0,1023.0,-9.0,93.86,0,0,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.7,6.9,2010-01-03 09:00:00,2010,1,3,9
98.0,-11.0,85.0,1023.0,-9.0,97.88,0,0,1,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.4,7.3,2010-01-03 10:00:00,2010,1,3,10
107.0,-11.0,85.0,1022.0,-9.0,102.8,0,0,1,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,7.8,2010-01-03 11:00:00,2010,1,3,11
90.0,-11.0,85.0,1021.0,-9.0,105.93,0,0,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,1.1,8.9,2010-01-03 12:00:00,2010,1,3,12
96.0,-11.0,85.0,1020.0,-9.0,111.74,0,0,1,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,9.4,2010-01-03 13:00:00,2010,1,3,13
95.0,-11.0,85.0,1020.0,-9.0,116.66,0,0,1,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.3,9.7,2010-01-03 14:00:00,2010,1,3,14
86.0,-11.0,85.0,1020.0,-9.0,121.58,0,0,1,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.5,10.2,2010-01-03 15:00:00,2010,1,3,15
70.0,-11.0,85.0,1020.0,-9.0,124.71,0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.2,10.4,2010-01-03 16:00:00,2010,1,3,16
61.0,-11.0,85.0,1020.0,-9.0,127.84,0,0,1,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.1,10.5,2010-01-03 17:00:00,2010,1,3,17
53.0,-11.0,85.0,1021.0,-9.0,0.89,0,0,0,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.4,10.9,2010-01-03 18:00:00,2010,1,3,18
71.0,-11.0,85.0,1022.0,-9.0,1.78,0,0,0,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.3,11.2,2010-01-03 19:00:00,2010,1,3,19
72.0,-10.0,92.0,1022.0,-9.0,4.02,0,1,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-03 20:00:00,2010,1,3,20
76.0,-11.0,92.0,1023.0,-10.0,7.15,0,1,0,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-03 21:00:00,2010,1,3,21
73.0,-11.0,85.0,1023.0,-9.0,11.17,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-03 22:00:00,2010,1,3,22
79.0,-12.0,92.0,1023.0,-11.0,14.3,0,1,0,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,1,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-03 23:00:00,2010,1,3,23
58.0,-14.0,85.0,1023.0,-12.0,16.09,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 00:00:00,2010,1,4,0
25.0,-16.0,56.0,1023.0,-9.0,21.9,0,1,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 01:00:00,2010,1,4,1
26.0,-17.0,56.0,1024.0,-10.0,29.95,0,1,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 02:00:00,2010,1,4,2
28.0,-18.0,56.0,1024.0,-11.0,39.78,0,1,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 03:00:00,2010,1,4,3
26.0,-19.0,51.0,1025.0,-11.0,48.72,0,1,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 04:00:00,2010,1,4,4
20.0,-20.0,51.0,1026.0,-12.0,55.87,0,1,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 05:00:00,2010,1,4,5
29.0,-21.0,47.0,1027.0,-12.0,64.81,0,1,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 06:00:00,2010,1,4,6
26.0,-21.0,51.0,1027.0,-13.0,73.75,0,1,0,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 07:00:00,2010,1,4,7
27.0,-22.0,46.0,1028.0,-13.0,80.9,0,1,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 08:00:00,2010,1,4,8
27.0,-22.0,46.0,1029.0,-13.0,90.73,0,1,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 09:00:00,2010,1,4,9
25.0,-22.0,43.0,1030.0,-12.0,100.56,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 10:00:00,2010,1,4,10
29.0,-23.0,39.0,1031.0,-12.0,108.61,0,1,0,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 11:00:00,2010,1,4,11
32.0,-21.0,43.0,1030.0,-11.0,117.55,0,1,0,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 12:00:00,2010,1,4,12
28.0,-20.0,43.0,1030.0,-10.0,127.38,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 13:00:00,2010,1,4,13
29.0,-21.0,40.0,1030.0,-10.0,136.32,0,1,0,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 14:00:00,2010,1,4,14
30.0,-21.0,37.0,1030.0,-9.0,145.26,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 15:00:00,2010,1,4,15
30.0,-21.0,37.0,1031.0,-9.0,152.41,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 16:00:00,2010,1,4,16
28.0,-20.0,47.0,1032.0,-11.0,159.56,0,1,0,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 17:00:00,2010,1,4,17
26.0,-23.0,36.0,1032.0,-11.0,165.37,0,1,0,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 18:00:00,2010,1,4,18
31.0,-21.0,47.0,1033.0,-12.0,171.18,0,1,0,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 19:00:00,2010,1,4,19
33.0,-24.0,36.0,1034.0,-12.0,180.12,0,1,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 20:00:00,2010,1,4,20
29.0,-24.0,39.0,1034.0,-13.0,187.27,0,1,0,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 21:00:00,2010,1,4,21
31.0,-24.0,39.0,1035.0,-13.0,195.32,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 22:00:00,2010,1,4,22
30.0,-26.0,38.0,1035.0,-15.0,198.45,0,1,0,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-04 23:00:00,2010,1,4,23
34.0,-26.0,45.0,1035.0,-17.0,201.58,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 00:00:00,2010,1,5,0
27.0,-26.0,49.0,1035.0,-18.0,205.6,0,1,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 01:00:00,2010,1,5,1
25.0,-26.0,53.0,1035.0,-19.0,208.73,0,1,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 02:00:00,2010,1,5,2
28.0,-27.0,45.0,1035.0,-18.0,213.65,0,1,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 03:00:00,2010,1,5,3
28.0,-27.0,49.0,1035.0,-19.0,218.57,0,1,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 04:00:00,2010,1,5,4
27.0,-27.0,38.0,1034.0,-16.0,4.92,1,0,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 05:00:00,2010,1,5,5
27.0,-26.0,41.0,1035.0,-16.0,8.05,1,0,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 06:00:00,2010,1,5,6
27.0,-27.0,38.0,1034.0,-16.0,13.86,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 07:00:00,2010,1,5,7
29.0,-26.0,41.0,1035.0,-16.0,18.78,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 08:00:00,2010,1,5,8
36.0,-26.0,38.0,1035.0,-15.0,24.59,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 09:00:00,2010,1,5,9
30.0,-25.0,38.0,1035.0,-14.0,29.51,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 10:00:00,2010,1,5,10
27.0,-25.0,35.0,1035.0,-13.0,34.43,1,0,0,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 11:00:00,2010,1,5,11
39.0,-25.0,33.0,1034.0,-12.0,39.35,1,0,0,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 12:00:00,2010,1,5,12
41.0,-24.0,33.0,1032.0,-11.0,41.14,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 13:00:00,2010,1,5,13
33.0,-22.0,39.0,1032.0,-11.0,0.89,0,0,0,1,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 14:00:00,2010,1,5,14
50.0,-23.0,36.0,1031.0,-11.0,1.79,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 15:00:00,2010,1,5,15
56.0,-24.0,33.0,1031.0,-11.0,3.58,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 16:00:00,2010,1,5,16
59.0,-23.0,36.0,1031.0,-11.0,5.37,0,1,0,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 17:00:00,2010,1,5,17
60.0,-23.0,36.0,1032.0,-11.0,7.16,0,1,0,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 18:00:00,2010,1,5,18
84.0,-22.0,46.0,1033.0,-13.0,10.29,0,1,0,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 19:00:00,2010,1,5,19
106.0,-22.0,43.0,1033.0,-12.0,13.42,0,1,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 20:00:00,2010,1,5,20
66.0,-24.0,59.0,1033.0,-18.0,16.55,0,1,0,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 21:00:00,2010,1,5,21
50.0,-22.0,46.0,1034.0,-13.0,20.57,0,1,0,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 22:00:00,2010,1,5,22
56.0,-22.0,59.0,1033.0,-16.0,23.7,0,1,0,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-05 23:00:00,2010,1,5,23
77.0,-25.0,49.0,1033.0,-17.0,26.83,0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 00:00:00,2010,1,6,0
50.0,-25.0,38.0,1033.0,-14.0,4.02,1,0,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 01:00:00,2010,1,6,1
44.0,-26.0,35.0,1034.0,-14.0,8.04,1,0,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 02:00:00,2010,1,6,2
27.0,-26.0,35.0,1033.0,-14.0,13.85,1,0,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 03:00:00,2010,1,6,3
28.0,-26.0,35.0,1033.0,-14.0,17.87,1,0,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 04:00:00,2010,1,6,4
21.0,-26.0,35.0,1033.0,-14.0,23.68,1,0,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 05:00:00,2010,1,6,5
25.0,-26.0,35.0,1033.0,-14.0,28.6,1,0,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 06:00:00,2010,1,6,6
20.0,-26.0,38.0,1034.0,-15.0,33.52,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 07:00:00,2010,1,6,7
29.0,-26.0,35.0,1034.0,-14.0,39.33,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 08:00:00,2010,1,6,8
34.0,-25.0,35.0,1035.0,-13.0,44.25,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 09:00:00,2010,1,6,9
42.0,-25.0,33.0,1035.0,-12.0,50.06,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 10:00:00,2010,1,6,10
28.0,-24.0,33.0,1035.0,-11.0,54.98,1,0,0,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 11:00:00,2010,1,6,11
36.0,-24.0,30.0,1034.0,-10.0,59.0,1,0,0,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 12:00:00,2010,1,6,12
48.0,-22.0,36.0,1033.0,-10.0,4.02,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 13:00:00,2010,1,6,13
49.0,-22.0,34.0,1033.0,-9.0,5.81,0,1,0,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 14:00:00,2010,1,6,14
52.0,-22.0,31.0,1033.0,-8.0,0.89,0,0,0,1,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,-1.0,-1.8369701987210297e-16,0.0,0.0,2010-01-06 15:00:00,2010,1,6,15
